text,label
"Hiçbir çorabımın yıkalı olmadığını fark edip,kalan tek çorabın diğer çiftinin olmadığını öğrendiğimdeki korku dolu an",korku
Korku filmi izlediğim zaman.,korku
Yükseklik,korku
Ana sınıfına giderken ayağımdan ameliyat olacağımı öğrendiğim zaman.,korku
Sahnede kötü çalarsam korkarım.,korku
Yolda giderken önümüze köpek çıktığı zaman ona çarpacağız diye çok korktum.,korku
Durduk yere ağzımdan kan gelmişti.,korku
Bir kere yurt dışında kaybolmuştum.,korku
gördüğüm kabus yüzünden tüm gece uyumadım,korku
sınıfta kalmaktan korkarım.,korku
evde yalnız kaldığımdı duyduğum seslerden ve karanlıktan ürperirim,korku
Böceklerden ve farelerden.,korku
babam ameliyat olurken çok korktum,korku
Sınav sonuçları açıklanırken.,korku
Düşman kardeşleri izlerken bir yerden Bade'nin anneannesi fırlayacak diye korkuyorum,korku
Babamı kaybetmekten çok korkuyorum,korku
Sevdiklerimin başına bir şey gelecek diye korkarım.,korku
havlayan köpekten tırsarım.,korku
dini korku filmlerinde epey tırsıyorum,korku
Karanlıktan korkarım.,korku
Köpeklerden korkarım.,korku
hastalık,korku
Yalçın Çetin'le Reha Kapsal bir gün öpüşecek diye çok korkuyorum.,korku
Bahçe kapısını açtığımda yılanla karşılaştığım an.,korku
Allah'tan korkarım.,korku
Maç sonrası bizi dışarıda bekleyen karşı taraftarın kalabalık olduğunu gördüğümde,korku
"görüntü korkunçtu. ama daha korkunç olanı; sağlığa bu kadar titiz olan ülkemin, tecavüzcüleri serbest bırakılıyor olması.",korku
Karanlıkta yalnız kalınca korkarım.,korku
Bir gün kuzenim ile evde korku filmi izledikten sonra yatağıma giderken çok korkmuştum.,korku
İçerisinde gerilim unsurları çok olan filmlerden korkarım.,korku
Sınavda korkarım.,korku
Sevdiklerimi kaybetmekten korkuyorum.,korku
Üzerime doğru gelen bir hayvan.,korku
babamın kaza yaptığını öğrenince çok korktum.,korku
Eve dönerken yanımdaki kıza araba çarptı ve kızın kulağından kan geliyordu. Çok korkmuştum.,korku
Notların açıklandığını öğrendiğimde.,korku
Telefonla uğraşırken bir anda irkildim o nasıl bana bak demek ya,korku
Ailemden birisini kaybetmekten.,korku
"Depremi hissetmediğim halde hissedenler için çok endişelendim, Allah daha büyüğünden korusun",korku
korku filmi izlediğimde filmden korkmasam bile filmden sonra tuvalete gitmeye çok korkarım,korku
Kötü olan insanlardan.,korku
Aşı olmaktan korkarım.,korku
Sınava girmeden önce.,korku
Yüksekten korkarım.,korku
Yarısı da menopoz da saklı ben gidiyorum ürktüm,korku
bir evin korkuluğu bile olsa zemin katta oturmak.. zira bütün oda kapılarını kapatıp koridor da oturmuşluğum var.,korku
Gece üç harflilerden yani cinlerden bahsedince korkarım.,korku
Toplum içinde konuşma yaparken.,korku
Sınav sorularından.,korku
Korku filmi seyretmek.,korku
ilkokula başladığımda kendim alfabeyi öğrenirken doğrularımı bildiğim halde ailemin bana yanlış öğretmesinden korkmuştum.,korku
Yüksekten.,korku
Para verip aldığım kutuların boş çıkmasından korkarım.,korku
deprem anında tek başımaysam korkudan camdan bile atlayabilirim,korku
Kan.,korku
"""DOM"" lablarından korkuyorum",korku
Evde tek başıma olduğum zaman.,korku
Trafik kazası geçirmekten.,korku
Babam 6 saat ameliyat olduğu zaman.,korku
Ailemin yapma dediği şeyleri yaptığım zaman.,korku
Derin sulardan ve asansörlerden.,korku
Kuzenimin intihar yazısını gördüğümde.,korku
tekrar diyaliz makinesine girmekten çok korkuyorum,korku
Sevdiklerime zarar gelmesi.,korku
Kürtajdan çok korktum.,korku
Korku filmlerinden korkuyorum.,korku
Yolda giderken bir motor bize çarpmıştı.,korku
her zaman Allah'tan korkarım.,korku
Sınav olduğunu öğrendiğim zaman.,korku
geceleri çöp kutusunun yanından geçerken bebek ağlaması duyarsam çok korkarım.,korku
Yolda yürürken adamın birinin bana laf atmasından çok korkmuştum.,korku
Gece sokağa çıktığım her gün korkuyorum,korku
Arkadaşlarım ile gittiğim bir filmde.,korku
Koşan bir köpek gördüğüm zaman.,korku
Tek başıma kaldığımda çok korktum.,korku
elektrikler kesilince ya da karanlık... tek kelime korku,korku
Türkmen kentinde büyük facia: 20 ölü 100 yaralı,korku
ameliyat masasına bağlandığımda kaçmak istedim.,korku
Babam araba kullanırken aniden rahatsızlandı ve kazayı zor atlattık.,korku
Babam hastahaneye kaldırılınca ona bir şey olursa diye çok korktum.,korku
Çantamda telefonumu bulamadığımda.,korku
Köpeklerin havlaması başıma bir şey gelecekmiş hissi veriyor.,korku
Uçağa ilk bindiğimde korktum.,korku
Allah'tan korkarım.,korku
Böcekler ve yükseklik.,korku
Yolda yürürken birisi önümü keserse çok korkarım.,korku
Oynadığım kuponun tutmama ihtimalinden korkuyorum.,korku
Tek başıma kaldığım zaman.,korku
Denizde ayağıma ahtapot sarılmıştı.,korku
Farelerden.,korku
"Dün gece berbat bir kabus gördüm,sıçrayarak uyandım.",korku
Benim bile ödüm koptu o nasıl bir çığlık manyak kadın,korku
biri beni korkuttuğu zaman korkarım.,korku
Gece tek başıma kalmak.,korku
Köpekler en büyük korkum.,korku
Arkadaşlarımla Evde ruh çağırdığımızda çok korktum,korku
"Müzik kutusu fobim var, çok korkunç geliyorlar bana...",korku
"Gözlerini neden öyle yapıyorsun, korkuyorum",korku
"Yükseklikten korkarım, yamaç paraşütü benim neyime hiç bilmiyorum.",korku
Bana ölümü çağrıştırıyor,korku
Asansöre yalnız binmek zorundaysam.,korku
Bu kargaşanın içinde hayallerimi nasıl gerçekleştireceğimi düşündüğüm zaman korkuyorum.,korku
Korku filmleri.,korku
Bayram namazını kaçırmaktan.,korku
Depremlerden korkarım.,korku
Aşıdan tırsarım.,korku
Yılan gördüğüm an.,korku
Arkamdan birisinin gelip beni korkutması.,korku
Aniden önüme birisinin çıkması.,korku
Akşam yemeğini yemeyip filtre kahve içmiştim. Rengim atmış kendimi görünce irkildim :/,korku
Birden bana doğru hareket eden herhangi bir şey.,korku
Bu cümle beynime kabus gibi çöktü uyuyamıyorum..,korku
Yaklaşan DOM ödevinden çok korkuyorum.,korku
Ölüm ve hastane korkum var.,korku
"7 yaşımda iken ""Dabbe"" isimli korku filmi izlemiştim , çok korkmuştum.",korku
Korku filmlerinden.,korku
Sınav haftası gelince korkarım.,korku
Sınavlardan korkuyorum.,korku
Yılandan korkarım.,korku
paranormal olaylarla ilgili film izlediğimde korkmuştum,korku
Dayak yemekten.,korku
Rezil bir rüya gördüm ve bugün 19u. Biraz ürktüm...,korku
Karanlıktan.,korku
Manisa'da kaybolduğum zaman.,korku
Hastanelerden korkarım.,korku
yüksekten ödüm patlar,korku
Birisinin bana kesici bir alet göstermesi.,korku
İzlerken çok korkak olduğumu farkettim.bakarken bile ürktüm :),korku
Sevdiğim birisiyle aram bozukken onu kaybetme korkusu.,korku
Köpek.,korku
Villada korkunç cinayet... 3 gün sonra itiraf etti,korku
Yükseklikten çok korkuyorum dizlerim titriyor.,korku
Yılan gördüğümde.,korku
Hepimizin o an araba çarpsa da burda bitse dediği bir an vardır. Ben hangi cadde de öldüğümü hatırlıyorum. Korkunçtu,korku
Sınavlar açıklanırken.,korku
Babamdan korkarım.,korku
Matematik sınavı olduğu zamanlar.,korku
Özel hayatıma burnunu sokan insanlara karşı fobim var,korku
Araba kazası yaptığımızda korktum.,korku
yeğenim karşısında kocaman köpeği görünce gözleri yuvalarından fırladı.,korku
Ani olaylardan korkarım.,korku
Aldatılmaktan korkarım.,korku
Geceleri köpeklerin kovalaması.,korku
Örümceklere karşı büyük bir korkum var.,korku
Deprem anı yaşamak.,korku
Gelecek ile ilgili kaygılarım var.,korku
gece deprem oldu. Sarsıntıya uyandım ve kendimi masanın altında titrerken buldum,korku
Yüksekten korkarım.,korku
Gelecekte gençlerin kötü yollara başvurmaları.,korku
deprem anında çok korkmuştum.,korku
Çin'de fabrikada patlama: 2 ölü,korku
Kolumun kırıldığını öğrendiğim an.,korku
Bilmediğim bir yerde kaybolmuştum.,korku
Telefonum düşmüştü. Kırıldı diye çok korkmuştum.,korku
Bir yakınımı kaybetmekten.,korku
küçük kardeşim kafasını masaya vurunca korkmuştum.,korku
Herşey yolunda mı ? Bir patırtı duymayınca endişelendim ..,korku
Karanlıkta kalmak.,korku
Kurbağa görünce.,korku
Eve böcek girdiğinde çok korkmuştum,korku
Ani hareketlerden korkarım.,korku
Çekirgelerden korkarım.,korku
Korku filmi izleyince korkarım.,korku
evde yalnızken kapıdan sesler geldi,korku
Müebbet yazar diye korktum o yüzden denemedim kanka,korku
Korku filmlerinden korkarım.,korku
Bazı filmler.,korku
sanırım ölümden daha doğrusu dolu dolu yaşamadan ölmekten korkuyorum,korku
Herşey tamı tamına bir saniye sürdü. Önce şiddetli bir sarsıntı hemen arkasından ürkütücü bir patlama sesi. Sağa sola koşuşturan insanlar...,korku
Bir anda elektrik kesildi ve çok korktum,korku
Sevdiklerime bir şey olmasından korkarım.,korku
Dişçinin kanal tedavisi yapması,korku
Bana güvenen insanları mahcup etmek.,korku
Ölüm anında çaresiz kalmak.,korku
Sınava çalışmadan girmek.,korku
Sınıfta kalma tehlikesi yaşadığım  zaman korkarım.,korku
Rüzgarın sesi ve gölgelerden.,korku
boşa vakit kaybetmekten ve sonra pişman olmaktan zihnimin önüne geçememekten korkuyorum.,korku
zaman ilerledikçe ürkütücü bir biçimde kadınlar birbirine benzemeye başladı,korku
Kendimi güvende hissetmediğim an korkarım.,korku
silahlı çatışmadan korkarım.,korku
Sokakta bir grup köpek görmek.,korku
Rüyamda gördüğüm dev örümcekten.,korku
Kendimi yalnız hissettiğimde  ve sınav haftası korkarım.,korku
Başkaları için değişmekten korkarım.,korku
Evde tek başıma otururken elektrikler kesilince korktum.,korku
her korku filmi izlediğimde korkarım.,korku
depremden ödüm kopar,korku
Trafikte iken az daha kaza yapacaktık o zaman çok korkmuştum.,korku
"Gözleri keskin, gözleri keskin, gözleri keskin bir tren sesi kadar korkutucuydu..",korku
Final öncesi.,korku
Yalnız her ikisinin de içinde gizliden gizliye büyüyen bir korku vardı: Bir gün gelip ayrılmak korkusu.,korku
"sessiz iyi demeyin, bazen sessiz en gürültülü sesten daha ürkütücü.",korku
üstüme 34 tane köpek gelirse korkarım,korku
"Bir rüya gördüm korku , gerilim , ölüm, şiddet ne varsa vardi.. Annemi istiyorum.",korku
Tatilde iken çalıların arasından önüme yılan çıkmıştı.,korku
okulda üç harfli muhabbeti yapıp akşam evde yalnız kaldığımda korktum.,korku
Karşıma aniden biri çıkınca ürkerim.,korku
küçükken evde tek başıma kaldığımda çok korkmuştum.,korku
korktun mu diye video çeken kız ünlü olmuş korktum,korku
Sınav sonuçları açıklandığında.,korku
Parmaklık yada benzeri bir korkuluğu olmayan yüksekçe bir yere çıkınca ve yükseklikten biraz da başım dönünce düşmekten çok korktum.,korku
Dar ve kapalı alanlardan korkarım.,korku
Ruhani olaylardan korkarım.,korku
Yükseklik.,korku
Yanımda birisi yaralandığında ve durumu acil olduğunda korkarım.,korku
Sevdiğim insanlara zarar gelmesinden.,korku
futbol oynayamamak en büyük fobim,korku
Emeklerimin boşa gitmesi ve sevdiklerimi kaybetmek.,korku
Alışveriş yaparken kartımın çalışmamasından korkarım.,korku
Asansörde kalmaktan korkarım.,korku
Trafik kazalarından.,korku
Sevdiğim birisini kaybetmekten korkarım.,korku
Sahilde yürürken köpeklerin havlamasından korktum.,korku
hastaneye gitmekten çekiniyorum.,korku
Tekrar hasta olmaktan korkuyorum.,korku
Kaybetmek.,korku
Sınav zamanı geldiğinde.,korku
Trafik kazası geçirdiğimde çok korktum hala da ani fren yaptığımda korkarım.,korku
Uçağa ilk binişimde çok korkmuştum. Daha sonra alıştım. Ama en son yaşadığım türbülans yaşadıktan sonra artık korkumdan uçağa binemiyorum,korku
fuarda binmiş olduğum hız treni beni çok yükseğe çıkarmıştı. Bu yüzden çok korkmuştum.,korku
Gözüme bir şey kaçmasından korkarım.,korku
Kötü not almaktan.,korku
geceleri evde tekken sessizlikte karanlıktan korkarım. Yalnız kalmak benim en büyük korkularımdan,korku
Fare görünce korkarım.,korku
Öleceğimi sandığımda.,korku
Kardeşim kaybolduğu zaman.,korku
sınavlara çalışmadım ve düşük alırsam diye ödüm patlıyor,korku
Kabus gördükten sonra korkarım.,korku
Kızımın ilk hastalığında kötü bir şey olmasından çok korktum.,korku
Ailecek yaptığımız trafik kazasından sonra babamın araba kullanışından her zaman korktum.,korku
Lisedeyken bir sokak köpeği evden okula kadar yanımda yürüyünce korkmuştum.,korku
Notların açıklandığı an.,korku
Karanlıktan korkarım.,korku
üniversiteyi kazanamamaktan korkuyorum.,korku
Kaza yaptığımız zaman çok korktum.,korku
Arılardan korkarım.,korku
arkadaşım yurtta hastalığından dolayı bayıldığında aklım başımdan gitti.,korku
Sınav tarihi açıklanırken.,korku
7 yaşındayken kaybolduğum an ağlamaktan gözlerim dolmuştu ve bir an öleceğimi sanmıştım,korku
çaresiz kalmaktan korkarım,korku
Elektrikler kesildiğinde dolabın içine saklanıp beni korkutmuştu.,korku
Kolum kırılınca çok korktum.,korku
gece robot olduğuma dair bi kabus gördüm o kadar korktum ki annemin yanına gittim onla uyudum,korku
Kuzenlerimle dışarı çıktığımızda iki kişi bize bıçakla saldırmıştı.,korku
İnternetten çok korkuyorum ya herşeyin ortalığa dökülmesi 3 saniye sürüyor,korku
Yüksekten korkarım.,korku
17. Kattayım 25 e çıkıcam ve kapalı alan fobim var,korku
Gelecek konusunda ki bilinmezlik beni korkutuyor.,korku
geleceğimden emin olamamak en büyük korkumdur.,korku
Katta otururken cama sopayla vurulduğunda çok korktum. meğerse üst komşuymuş.,korku
Cüzdanımı bulamadığımda korkmuştum.,korku
kan aldırmaktan korkuyorum.,korku
Hayvanat bahçesinde yılanı yuvasında göremeyince korktum.,korku
Berbat bir kabus mu desem rüya mı desen bilemedim,korku
Sevdiklerime kötü bir şey olması.,korku
Örümcek görmek.,korku
"Yalnızlığın korkunçtu bahanesi. Her nefes alışında cigerine batıyor, battıkça alıştırıyor ve aynı yerden tekrar tekrar kanatıyordu.",korku
Sınav haftasının yaklaşması.,korku
ödevimi yapmadığımda ve sözlü sınav olduğunda.,korku
başarılı olamamaktan korkuyorum,korku
ilk kaza yaptığımda çok korkmuştum,korku
Şaka olarak karanlık bir yere atıldığım zaman.,korku
Dişçiye ilk kez gittiğimde gerçekten korkmuştum,korku
Gizemli olaylar ve geleceğimden korkarım.,korku
Karanlık bir yerde yalnız kaldığım zaman.,korku
Korkunç kadını ilk gördüğümde.,korku
Arıdan çok korkarım,korku
Karanlık ve yalnızlık.,korku
Doğal afetlerden korkarım.,korku
Öbür dünyadaki varlıklarla ilgili konuşulunca korkarım.,korku
birinci sınıfta uzaylılarla ilgili bir belgesel izlemiştim. Uzaylılardan korkuyorum.,korku
Aşırı hızdan korkarım.,korku
ondan daha çok dişçinin azarlamasından korkuyorum.,korku
Evde yalnızken garip sesler duyduğumda korkarım.,korku
Arkadaşlarımın zarar görmesinden.,korku
Dün başkasını senin yerine koyucam diye ödüm koptu,korku
Deprem olduğu an.,korku
Sınava girmeden önce korkarım.,korku
Gece gece instada niye şarkı paylaşıyorsunuz amk sesini sonda unutmuşum telefonun ödüm koptu,korku
Korku filmi izlediğimde etkisinde kalıp uyuyamamıştım.,korku
Seni kaybedeceğim diye çok korktum,korku
Kedim balkondan düştüğü zaman çok korkmuştum.,korku
Sabah sabah ölüm haberiyle uyanmak... Babasız kalmanın acısı korkunç bir şey değil mi?,korku
Vatansız ve dinsiz kalmaktan.,korku
Bazı korku oyunlarından.,korku
Evde yalnızken birisinin beni öldüreceğinden korkarım.,korku
İlk defa arabayla trafiğe çıktığımda korkmuştum.,korku
Düşük not almaktan.,korku
Korku filmi izlediğim zaman.,korku
dişçiden korkmuyorum sadece o cihazların sesini ilk duyduğumda biraz geriliyorum ama dişçi koltuğunda metanetliyim.,korku
Sözlü sınavında öğretmenin listeden şeçmesinde korkuyorum.,korku
Aniden karşıma çıkan arabaya vurmamak için yaptığım frenden sonra gerçekten çok korktum.,korku
devlet hastanesinde dolgu yaptırınca korkmuştum.,korku
Böcek gördüğümde.,korku
"Annem evimizin altında yatır var deyince çok korkmuştum.
      Ülkemizin içinde bulunduğu durumdan endişeleniyorum.",korku
düşük not aldıktan sonra evdekilerin tepkileri beni ürkütür,korku
Kabus gördüğümde.,korku
Uzuv kaybından korkarım.,korku
Böceklerden korkarım.,korku
Evde yalnız kaldığımda çok korktum.,korku
Evde yalnızken yatakta yatan dedemin öldüğünü anladığım an.,korku
Gözlerimi kapattığımda karşılaştığım karanlıktan.,korku
Geceleri dini konular konuşulmasından,korku
Bir an da'yı ayıramadın sandım ödüm koptu. Gönlümü aldın ama,korku
Eve gelince uyurum diye hayal kurarken “tuğba yemek yap” sesiyle irkildim,korku
Kötü yemek yiyeceğimi sanmaktan korkarım.,korku
Köpek tarafından kovalanmak.,korku
Kötü bir olay yaşamak.,korku
bugün derste budist ilahisi dinliyodum hoca flüt dinleyen kimse kapatsın dedi çok korktum,korku
Yatarken okuduğum korku hikayelerini hatırlayınca korkuyorum.,korku
Annemin ameliyata girdiği an.,korku
Ani bir hareket yapıldığı zaman.,korku
Böcek gördüğüm zaman.,korku
Arabayla kaza yapınca çok korkmuştum.,korku
"Amca ne korna çalıyon vur geç , ödüm koptu zaten .",korku
Yakın bir insanın hayati durumunun kritik olmasından korkarım.,korku
Telefonu açınca babamdan 30 cevapsız çağrıyı görünce.,korku
korkacak bir şeyimin olmamasından korkuyorum.,korku
Dişçiye gittiğimde heyecandan korkmuştum.,korku
Hesap sınırlandırıldı askıya alındı diye ödüm koptu sabit tvitime yazık olurdu,korku
Apartmanın çatısının kenarında durduğumda.,korku
Seni tekrar göreceğim günü beklerken ölmekten korkuyorum,korku
Yeni taşındığımız evde yalnız kaldığım zaman.,korku
Yüksek bir binaya çıktığımda.,korku
Maçın uzatma dakikalarında gol yiyeceğiz diye çok korktum.,korku
arkadaşımı korkutmak için sessizce arkasından yaklaştım. Meğerse oda maske yapmış balkonda oturuyormuş. korkup arkasını dönünce o tipi görüp korkudan suratına yumruk atmıştım. hayatımda ilk defa bir kıza vurdum.,korku
Evde tek başıma kaldığımda korkmuştum.,korku
"Eğer yanıtlarım seni korkutuyorsa, korkutucu sorular sormaktan vazgeçmelisin.",korku
Gece evde tek başımaysam.,korku
korkmam,korku
Hayvan mezarlığı filmini izlediğimde ürpermiştim,korku
Bir anda karşıma köpek çıkınca hemen kaçtım.,korku
Sınavdan kötü not aldıktan sonra aileme anlatmaya korkarım.,korku
"Geçen gece bir kabus gördüm , lahmacuncular telefonlarımı açmıyordu",korku
Akrabamız kaza yaptığında çok korkmuştum.,korku
Annemin yatarken kapımı kapatmasından korkarım.,korku
Dün gece gök gürültüsünden ve şimşek çakmalarından çok korktum,korku
dişçiye ilk gittiğimde adam yanlış dişimi çektiği için ödüm patladı ve canım acıdı,korku
Sınav sonuçlarını beklerken.,korku
trafik kazası geçirdiğimde ölmekten çok korktum.,korku
Sevdiklerime bir şey olmasından korkarım.,korku
Kaybetmekten korkarım.,korku
"Yağmurun altında yürürken listeden Sam Smith denk geldi, iliklerime kadar irkildim",korku
eve hırsız girdikten sonra evde tek kaldığım için geceleri ışık açık uyuyorum.,korku
bir hırsızlık teşebbüsüne maruz kaldım. Adamın elini tutunca koşmaya başladı. kaybettim adamı ama ilk defa böyle farklı bir şey yaşadım,korku
Parazitlerden korktum inş kabus görmem amin,korku
"Tekirdağ’da trafik kazası : 1 ölü, 3 yaralı",korku
Büyüdüğümü her farkettiğimde zamanın da daha hızlı geçtiğini görüyorum. Bu gerçekten fazla ürkütücü.,korku
Köpeklerden korkarım.,korku
Sınavlara girmeden önce korkarım.,korku
"Ölmüş pop yıldızı ""Micheal Jackson"" dan korkuyorum. Fotoğraflarına bile bakamıyorum.",korku
Garip seslerden ve ürpertici ölümlerden.,korku
Çok yakın bir aile dostumuzun oğluydu ve çok korktum gerçekten of sanırım bi 10 yıl yaşlandım,korku
Telefonum 3. kattan düştüğü zaman korktum.,korku
Evde tek başıma kalmak ve gece yolda yalnız yürümekten korkarım.,korku
Az önce fırın patladı iyi ki ödüm patlamadı çünkü ölebilirdim .,korku
ailemi ve arkadaşlarımı kaybetmekten korkarım.,korku
Kabus görmekten korkarım.,korku
Fizik sınavı.,korku
Küçükken üzerime köpek atıldı ve elimdeki ekmeğin birisini aldı bundan dolayı köpeklerden korkarım.,korku
Küçükken karanlıktan korkardım.,korku
Küçüklüğümde karanlıktan korkardım.,korku
Matçıya kısık sesle sus dedim hoca duydu tamam dedi amk sikecek diye çok korktum,korku
Geç saatlerde ıssız bir yerde yürümek.,korku
Kan gördüğüm zaman.,korku
Yılan gördüğümde çok korktum.,korku
Ablamla kavga ederken babamın duymasından korkuyorum.,korku
Havai fişek fabrikasında patlama: 2 ölü,korku
Evimize hırsız girdiğinde korkmuştum.,korku
"Liseye başlarken ortama, arkadaşlarıma ve öğretmenlerime alışabilir miyim diye korkmuştum.",korku
Kabusla uyandım aq bu saatte kabus mu olur,korku
Köpeklerden korkuyorum.,korku
Evet diş koltuğuna da oturduğumda kendimi son duamı eder vaziyette bulurum doğrusu:) en son bayılmıştım.,korku
Dişçide daha önce yaşadığım kötü deneyim nedeniyle hala korkumu yenemiyorum.,korku
Sınavı yetiştirememek.,korku
yükseğe çıkmak,korku
Karanlıktan.,korku
"Bir kaç yıl önce karşı komşumuza hırsız girmişti ve eşi evde olmadığı için bize seslenmişti ""hırsız var diye"" çok korkmuştum.",korku
